,TF,target
0,Arid3a,Abtb2
1,Arid3a,Ak3
2,Arid3a,Alas1
3,Arid3a,Anxa6
4,Arid3a,Arhgap21
5,Arid3a,Arhgap6
6,Arid3a,Arid1b
7,Arid3a,Bahcc1
8,Arid3a,Baiap2
9,Arid3a,Bcl2
10,Arid3a,Bcl2l11
11,Arid3a,Bex6
12,Arid3a,Camkk2
13,Arid3a,Ccnd2
14,Arid3a,Cdc42
15,Arid3a,Cep350
16,Arid3a,Cish
17,Arid3a,Csgalnact2
18,Arid3a,Dpp9
19,Arid3a,Fam64a
20,Arid3a,Fbxl20
21,Arid3a,Fchsd2
22,Arid3a,Fyn
23,Arid3a,Galnt6
24,Arid3a,Hlx
25,Arid3a,Hps3
26,Arid3a,Kif21b
27,Arid3a,Kpnb1
28,Arid3a,Lrrc1
29,Arid3a,Lrrfip1
30,Arid3a,Mcph1
31,Arid3a,Mllt6
32,Arid3a,Nxn
33,Arid3a,Pdxk
34,Arid3a,Plcl2
35,Arid3a,Prnd
36,Arid3a,Psmd5
37,Arid3a,Ptpre
38,Arid3a,Ramp1
39,Arid3a,Sars
40,Arid3a,Sbk1
41,Arid3a,Sec22c
42,Arid3a,Sec63
43,Arid3a,Sesn1
44,Arid3a,Skil
45,Arid3a,Snx10
46,Arid3a,Ssr2
47,Arid3a,Stxbp5
48,Arid3a,Tbc1d16
49,Arid3a,Tcf3
50,Arid3a,Tprgl
51,Arid3a,Ypel5
52,Arid3a,Zbtb46
53,Bcl3,Pcnx
54,Bcl3,Sik1
55,Bclaf1,Actr2
56,Bclaf1,Ahctf1
57,Bclaf1,Aplp2
58,Bclaf1,Arl4a
59,Bclaf1,Asxl1
60,Bclaf1,Atp13a3
61,Bclaf1,Atp2b1
62,Bclaf1,Baz1b
63,Bclaf1,Baz2b
64,Bclaf1,Brd4
65,Bclaf1,Canx
66,Bclaf1,Caprin1
67,Bclaf1,Casp3
68,Bclaf1,Cbx5
69,Bclaf1,Ccar1
70,Bclaf1,Cdc42
71,Bclaf1,Cdk13
72,Bclaf1,Cdyl
73,Bclaf1,Chd1
74,Bclaf1,Chd4
75,Bclaf1,Cltc
76,Bclaf1,Cpsf2
77,Bclaf1,Csde1
78,Bclaf1,Dap3
79,Bclaf1,Dck
80,Bclaf1,Dek
81,Bclaf1,Dnajc10
82,Bclaf1,Eif3a
83,Bclaf1,Eif4g2
84,Bclaf1,Elf1
85,Bclaf1,Elmo1
86,Bclaf1,Eps15
87,Bclaf1,Ezh2
88,Bclaf1,Fmr1
89,Bclaf1,Foxp1
90,Bclaf1,Fyn
91,Bclaf1,Galnt1
92,Bclaf1,Gng12
93,Bclaf1,Hipk1
94,Bclaf1,Hnrnpc
95,Bclaf1,Hprt
96,Bclaf1,Hspa4l
97,Bclaf1,Huwe1
98,Bclaf1,Igf1r
99,Bclaf1,Ikzf1
100,Bclaf1,Ipo5
101,Bclaf1,Itgb1
102,Bclaf1,Jak1
103,Bclaf1,Kdm5b
104,Bclaf1,Larp1b
105,Bclaf1,Lrrc58
106,Bclaf1,Man1a
107,Bclaf1,Map3k3
108,Bclaf1,Mbnl1
109,Bclaf1,Me2
110,Bclaf1,Mier1
111,Bclaf1,Mpp6
112,Bclaf1,Mtdh
113,Bclaf1,Mtfr1
114,Bclaf1,Naa50
115,Bclaf1,Nrip1
116,Bclaf1,Nucks1
117,Bclaf1,Oxr1
118,Bclaf1,Pcbp2
119,Bclaf1,Picalm
120,Bclaf1,Pkn2
121,Bclaf1,Ppp1r12a
122,Bclaf1,Prkaa1
123,Bclaf1,Prkar2b
124,Bclaf1,Rad21
125,Bclaf1,Rad23b
126,Bclaf1,Ranbp2
127,Bclaf1,Rbm27
128,Bclaf1,Rdx
129,Bclaf1,Rnf144a
130,Bclaf1,Scaf11
131,Bclaf1,Sec31a
132,Bclaf1,Slc16a1
133,Bclaf1,Slc22a23
134,Bclaf1,Slc38a2
135,Bclaf1,Spcs3
136,Bclaf1,Srcap
137,Bclaf1,Srrm2
138,Bclaf1,Ssb
139,Bclaf1,Tax1bp1
140,Bclaf1,Tbl1x
141,Bclaf1,Tbl1xr1
142,Bclaf1,Tcf12
143,Bclaf1,Tet2
144,Bclaf1,Tfrc
145,Bclaf1,Thrap3
146,Bclaf1,Tmpo
147,Bclaf1,Tnrc6b
148,Bclaf1,Top2b
149,Bclaf1,Trip12
150,Bclaf1,Uap1
151,Bclaf1,Usp1
152,Bclaf1,Usp24
153,Bclaf1,Usp25
154,Bclaf1,Usp32
155,Bclaf1,Usp34
156,Bclaf1,Usp6nl
157,Bclaf1,Usp9x
158,Bclaf1,Utrn
159,Bclaf1,Vcl
160,Bclaf1,Xk
161,Bclaf1,Ywhae
162,Bclaf1,Ywhaz
163,Bclaf1,Zcchc11
164,Bclaf1,Zcchc6
165,Bclaf1,Zfp217
166,Bclaf1,Zfp644
167,Cebpa,Ada
168,Cebpa,Aff3
169,Cebpa,Atp11a
170,Cebpa,Bcl11a
171,Cebpa,Clasp1
172,Cebpa,Larp1b
173,Cebpa,Myc
174,Cebpa,Nin
175,Cebpa,Nucks1
176,Cebpa,Ppp1r12a
177,Cebpa,Ptprs
178,Cebpa,Ranbp2
179,Cebpa,Rara
180,Cebpa,Usp25
181,Cebpe,2900026A02Rik
182,Cebpe,5033406O09Rik
183,Cebpe,App
184,Cebpe,Arhgef25
185,Cebpe,B330016D10Rik
186,Cebpe,Bcl3
187,Cebpe,Caprin2
188,Cebpe,Cars
189,Cebpe,Clic4
190,Cebpe,Ctdspl
191,Cebpe,Dok2
192,Cebpe,Elovl5
193,Cebpe,Fam174b
194,Cebpe,Fgfrl1
195,Cebpe,Isg15
196,Cebpe,Klhl36
197,Cebpe,Lmnb2
198,Cebpe,N4bp2l1
199,Cebpe,Panx1
200,Cebpe,Per3
201,Cebpe,Prpf3
202,Cebpe,Ptch1
203,Cebpe,Slbp
204,Cebpe,Tgm2
205,Cebpe,Tmem9
206,Cebpe,Tnfrsf1b
207,Cebpe,Traf4
208,Cebpe,Xrcc5
209,Cebpe,Zdhhc8
210,Cebpe,Zfhx2
211,Chd1,Adamts3
212,Chd1,Adk
213,Chd1,Aff4
214,Chd1,Anp32b
215,Chd1,Aplp2
216,Chd1,Asxl1
217,Chd1,Atp2b1
218,Chd1,B4galt6
219,Chd1,Baz1a
220,Chd1,Baz1b
221,Chd1,Bclaf1
222,Chd1,Birc6
223,Chd1,Brd4
224,Chd1,Canx
225,Chd1,Caprin1
226,Chd1,Casp3
227,Chd1,Ccar1
228,Chd1,Cdyl
229,Chd1,Chd6
230,Chd1,Cltc
231,Chd1,Cnot1
232,Chd1,Cpsf2
233,Chd1,Cux1
234,Chd1,Dach1
235,Chd1,Dap3
236,Chd1,Ddx6
237,Chd1,Dennd4a
238,Chd1,Dmxl1
239,Chd1,Dnajc10
240,Chd1,Dock7
241,Chd1,Eif3a
242,Chd1,Eif4g2
243,Chd1,Elavl1
244,Chd1,Eps15
245,Chd1,Ezh2
246,Chd1,Fnbp1l
247,Chd1,Fndc3a
248,Chd1,G3bp2
249,Chd1,Galnt1
250,Chd1,Gspt1
251,Chd1,Hdlbp
252,Chd1,Hectd1
253,Chd1,Herc1
254,Chd1,Hipk1
255,Chd1,Hp1bp3
256,Chd1,Hspa5
257,Chd1,Hspa8
258,Chd1,Ikzf1
259,Chd1,Itgb1
260,Chd1,Kdm5b
261,Chd1,Ktn1
262,Chd1,Luc7l2
263,Chd1,Lyst
264,Chd1,Me2
265,Chd1,Myh10
266,Chd1,N4bp2
267,Chd1,Nckap1
268,Chd1,Nfia
269,Chd1,Nucks1
270,Chd1,Osbpl8
271,Chd1,Oxr1
272,Chd1,Pcyt1a
273,Chd1,Pdcd4
274,Chd1,Picalm
275,Chd1,Pkn2
276,Chd1,Psip1
277,Chd1,Rabgap1l
278,Chd1,Rad21
279,Chd1,Rad23b
280,Chd1,Rapgef6
281,Chd1,Rbm25
282,Chd1,Rbm33
283,Chd1,Rdx
284,Chd1,Rrbp1
285,Chd1,Scaf11
286,Chd1,Sfmbt1
287,Chd1,Slc38a2
288,Chd1,Slmap
289,Chd1,Smad1
290,Chd1,Spata6
291,Chd1,Specc1l
292,Chd1,Srrm2
293,Chd1,Tbl1x
294,Chd1,Tet2
295,Chd1,Tfrc
296,Chd1,Tlk1
297,Chd1,Tmpo
298,Chd1,Ttc3
299,Chd1,Ublcp1
300,Chd1,Ugcg
301,Chd1,Usp1
302,Chd1,Usp24
303,Chd1,Usp25
304,Chd1,Usp34
305,Chd1,Wipf1
306,Chd1,Wrn
307,Chd1,Zfp644
308,Chd1,Zfp800
309,Cux1,Aff3
310,Cux1,Bahcc1
311,Cux1,Cbfa2t3
312,Cux1,Clic1
313,Cux1,Dab2ip
314,Cux1,Dok2
315,Cux1,Edem1
316,Cux1,Ehmt2
317,Cux1,Galnt6
318,Cux1,Hsd17b11
319,Cux1,Itgb1
320,Cux1,Itpr1
321,Cux1,Kctd1
322,Cux1,Kit
323,Cux1,Malat1
324,Cux1,Mdga1
325,Cux1,Mkl1
326,Cux1,Myb
327,Cux1,Nrgn
328,Cux1,Ptpre
329,Cux1,Ptprs
330,Cux1,Rab27b
331,Cux1,Ramp1
332,Cux1,S100a10
333,Cux1,Sord
334,Cux1,Ssh3
335,Cux1,Tspan5
336,Cux1,Vegfa
337,Cux1,Zswim4
338,Dido1,Abi2
339,Dido1,Add3
340,Dido1,Akap13
341,Dido1,Ankrd11
342,Dido1,Aplp2
343,Dido1,App
344,Dido1,Arhgap21
345,Dido1,Atp13a3
346,Dido1,Baz1a
347,Dido1,Brd4
348,Dido1,C1galt1
349,Dido1,Camk1d
350,Dido1,Canx
351,Dido1,Casp3
352,Dido1,Ccnd2
353,Dido1,Ccng2
354,Dido1,Cep350
355,Dido1,Chd4
356,Dido1,Chd6
357,Dido1,Csnk1a1
358,Dido1,Ctcf
359,Dido1,Cux1
360,Dido1,Dach1
361,Dido1,Eif3a
362,Dido1,Eif4g2
363,Dido1,Erc1
364,Dido1,Fmr1
365,Dido1,Hdlbp
366,Dido1,Herc1
367,Dido1,Hspa2
368,Dido1,Igf1r
369,Dido1,Kif1b
370,Dido1,Lyst
371,Dido1,Map3k3
372,Dido1,Myh10
373,Dido1,Naa50
374,Dido1,Nckap1
375,Dido1,Ncor1
376,Dido1,Nr3c1
377,Dido1,Nrip1
378,Dido1,Oxr1
379,Dido1,P2ry1
380,Dido1,Pcbp2
381,Dido1,Pcf11
382,Dido1,Pdcd4
383,Dido1,Pde5a
384,Dido1,Picalm
385,Dido1,Pip5k1b
386,Dido1,Pkn2
387,Dido1,Ptpn13
388,Dido1,Rabgap1l
389,Dido1,Rad21
390,Dido1,Ralgps2
391,Dido1,Ranbp2
392,Dido1,Rdx
393,Dido1,Sbno1
394,Dido1,Sipa1l1
395,Dido1,Slc16a1
396,Dido1,Smad1
397,Dido1,Spata6
398,Dido1,Srrm2
399,Dido1,Tax1bp1
400,Dido1,Tcf12
401,Dido1,Tlk1
402,Dido1,Tmpo
403,Dido1,Trip12
404,Dido1,Ttc3
405,Dido1,Usp24
406,Dido1,Ywhae
407,Dido1,Zcchc6
408,Dido1,Zfp644
409,Dido1,Zfp800
410,Dido1,Zmynd11
411,E2f2,Actr2
412,E2f2,Apip
413,E2f2,Asf1b
414,E2f2,Atp1b3
415,E2f2,Aurkb
416,E2f2,B4galnt1
417,E2f2,Bdh1
418,E2f2,Caprin2
419,E2f2,Cd82
420,E2f2,Cdc6
421,E2f2,Chd6
422,E2f2,Clcn3
423,E2f2,Clspn
424,E2f2,Cmtm3
425,E2f2,Cnnm2
426,E2f2,Ctnnb1
427,E2f2,Dck
428,E2f2,Dek
429,E2f2,Dennd1b
430,E2f2,E2f8
431,E2f2,Fam134b
432,E2f2,Fam53b
433,E2f2,Fbxo5
434,E2f2,Fyn
435,E2f2,Gpatch8
436,E2f2,Hells
437,E2f2,Hist1h2an
438,E2f2,Hnrnpd
439,E2f2,Hspa14
440,E2f2,Kif18b
441,E2f2,Klf3
442,E2f2,Map3k5
443,E2f2,Mcm10
444,E2f2,Mcm3
445,E2f2,Mcm4
446,E2f2,Mcm5
447,E2f2,Mcm6
448,E2f2,Mcm7
449,E2f2,Msh6
450,E2f2,Mtfr1
451,E2f2,Naip1
452,E2f2,Ndufb8
453,E2f2,Pcna
454,E2f2,Pfkm
455,E2f2,Phf19
456,E2f2,Picalm
457,E2f2,Pip5k1b
458,E2f2,Pkig
459,E2f2,Pola2
460,E2f2,Prkaa1
461,E2f2,Psen2
462,E2f2,Psip1
463,E2f2,Ptpn13
464,E2f2,Rasa2
465,E2f2,Rfc4
466,E2f2,Rgs12
467,E2f2,Rsbn1
468,E2f2,Sec14l2
469,E2f2,Svip
470,E2f2,Tapt1
471,E2f2,Tcf19
472,E2f2,Tet2
473,E2f2,Tfrc
474,E2f2,Thoc7
475,E2f2,Tm7sf3
476,E2f2,Tmem59
477,E2f2,Uhrf1
478,E2f2,Usp1
479,E2f2,Vangl1
480,E2f2,Vill
481,E2f2,Wls
482,E2f2,Zfhx3
483,E2f2,Zfp800
484,E2f8,2810474O19Rik
485,E2f8,Abi2
486,E2f8,Actr2
487,E2f8,Adamts3
488,E2f8,Afap1
489,E2f8,Aff4
490,E2f8,Aplp2
491,E2f8,Atic
492,E2f8,Atp13a3
493,E2f8,Baz1b
494,E2f8,Brd1
495,E2f8,Brd3
496,E2f8,Caprin1
497,E2f8,Cbfb
498,E2f8,Chd4
499,E2f8,Chd6
500,E2f8,Chd7
501,E2f8,Clic4
502,E2f8,Cpsf2
503,E2f8,Ctnnb1
504,E2f8,Daam1
505,E2f8,Dab2ip
506,E2f8,Dtx4
507,E2f8,Dusp16
508,E2f8,Eepd1
509,E2f8,Eif4b
510,E2f8,Eif4g1
511,E2f8,Elovl5
512,E2f8,Fbxo5
513,E2f8,Fhdc1
514,E2f8,Fkbp5
515,E2f8,Galnt1
516,E2f8,Gclm
517,E2f8,Gng2
518,E2f8,Gspt1
519,E2f8,Hdlbp
520,E2f8,Hmgb3
521,E2f8,Hp1bp3
522,E2f8,Ikzf2
523,E2f8,Jak1
524,E2f8,Kctd20
525,E2f8,Kif1b
526,E2f8,Ktn1
527,E2f8,Lmnb1
528,E2f8,Lrrc58
529,E2f8,Lsm14a
530,E2f8,Lyst
531,E2f8,Map3k5
532,E2f8,Map4
533,E2f8,Mbnl1
534,E2f8,Mcm3
535,E2f8,Med7
536,E2f8,Morf4l2
537,E2f8,N4bp2
538,E2f8,N4bp2l1
539,E2f8,Naa50
540,E2f8,Nap1l4
541,E2f8,Oat
542,E2f8,Pcf11
543,E2f8,Pcm1
544,E2f8,Pcna
545,E2f8,Pdha1
546,E2f8,Ppfibp1
547,E2f8,Psip1
548,E2f8,Ptpn13
549,E2f8,Rad50
550,E2f8,Rap1b
551,E2f8,Runx2
552,E2f8,Sfmbt1
553,E2f8,Skil
554,E2f8,Smchd1
555,E2f8,Spcs3
556,E2f8,Srsf1
557,E2f8,Sypl
558,E2f8,Tax1bp1
559,E2f8,Tet2
560,E2f8,Tfg
561,E2f8,Tmem2
562,E2f8,Tmem56
563,E2f8,Tmpo
564,E2f8,Tnks2
565,E2f8,Top2b
566,E2f8,Topbp1
567,E2f8,Uap1
568,E2f8,Ugdh
569,E2f8,Uqcrc2
570,E2f8,Usp1
571,E2f8,Usp45
572,E2f8,Wnk1
573,E2f8,Zfp644
574,E2f8,Zfp706
575,E2f8,Zfp800
576,Egr1,Ankrd11
577,Egr1,Appl1
578,Egr1,Arf4
579,Egr1,Arhgap21
580,Egr1,Arid1b
581,Egr1,Atp2b1
582,Egr1,Bnip2
583,Egr1,Camk1d
584,Egr1,Cand1
585,Egr1,Caprin1
586,Egr1,Cbfb
587,Egr1,Cdc42se1
588,Egr1,Cnot1
589,Egr1,Ctnna1
590,Egr1,Dach1
591,Egr1,Edem1
592,Egr1,Erc1
593,Egr1,Ero1l
594,Egr1,G3bp2
595,Egr1,Hspa2
596,Egr1,Ino80d
597,Egr1,Itpr1
598,Egr1,Kif1b
599,Egr1,Man1a
600,Egr1,Mfsd6
601,Egr1,Ncoa2
602,Egr1,Ogfrl1
603,Egr1,Pde5a
604,Egr1,Pip5k1b
605,Egr1,Pkn2
606,Egr1,Pnrc1
607,Egr1,Prrg4
608,Egr1,Ptprs
609,Egr1,Rbm27
610,Egr1,Rgl1
611,Egr1,Slc35e2
612,Egr1,Smap2
613,Egr1,Smg1
614,Egr1,Tmem229b
615,Egr1,Utrn
616,Egr1,Zbtb1
617,Elf1,Abi2
618,Elf1,Aff4
619,Elf1,Akap13
620,Elf1,Bclaf1
621,Elf1,Cltc
622,Elf1,Eif5b
623,Elf1,Fut8
624,Elf1,Gigyf2
625,Elf1,Gng12
626,Elf1,Hectd1
627,Elf1,Hspa4l
628,Elf1,Irf2
629,Elf1,Ppp1r12a
630,Elf1,Ptpn13
631,Elf1,Scaf11
632,Elf1,Tbc1d5
633,Elf1,Tbl1x
634,Elf1,Usp1
635,Elf1,Utrn
636,Elf1,Zfp217
637,Elk3,Ada
638,Elk3,Aff3
639,Elk3,Aff4
640,Elk3,Arhgef3
