,gene,out_degree
0,Mbd2,793.6567105861089
1,Gata2,321.3807668979556
2,Myc,235.36143489687444
3,Foxo1,223.99436224381805
4,Fli1,202.78486752193817
5,Gata1,170.9259716103177
6,Cux1,156.9407773966646
7,Myb,106.66989815485428
8,Elk3,89.01622459476269
9,Ikzf2,82.65064921594178
10,Sox4,82.41106532899714
11,Rara,60.25292200961148
12,Ybx1,41.803572936025404
13,Irf1,36.35957232622489
14,Nfe2,33.98325642623894
15,Nfia,28.53940991114763
16,Tcf3,18.186409911500046
17,Ets1,17.36804699447786
18,Etv6,14.432751624383691
19,Tal1,9.374375975344
20,Pbx1,9.347370492871322
21,Bcl3,9.136893834012147
22,Taf1,8.379681468069881
23,Rad21,8.308666694500154
24,Cebpa,4.526408976431716
25,Egr1,1.8964185304296017
26,Zfhx2,0.7881470312665587
